sent_id,raw_text,clean_text
ParlaMint-UA_2003-10-14-m0.u10.p3.lang1.s1,Ми не захищаємо уряд .,Ми не захищаємо уряд .
ParlaMint-UA_2003-10-14-m0.u162.p15.lang1.s2,"Головною нашою тезою в ході цих зустрічей стала вимога припинити будівництво дамби і надалі утримуватися від дій , які могли б потенційно завдати шкоди державному суверенітету України , на частину її території , а також у розвитку українсько-російських відносин .","Головною нашою тезою в ході цих зустрічей стала вимога припинити будівництво дамби і надалі утримуватися від дій , які могли б потенційно завдати шкоди державному суверенітету України , на частину її території , а також у розвитку українсько-російських відносин ."
NSDC_UA_28_Feb2014-192,І одне із попереджень повинно бути саме в цьому напрямку .,І одне із попереджень повинно бути саме в цьому напрямку .
ParlaMint-UA_2014-03-04-m0.u55.p1.lang1.s5,"Тобто кожен з них , коли буде звільнений , отримує вихідну матеріальну допомогу в обсязі від 300 до півмільйона гривень – 100 мінімальних окладів .","Тобто кожен з них , коли буде звільнений , отримує вихідну матеріальну допомогу в обсязі від 300 до півмільйона гривень – 100 мінімальних окладів ."
ParlaMint-UA_2003-10-14-m0.u50.p4.lang1.s5,"Вочевидь головне - планується провал , тим більше , що підготовка до олімпіади ведеться не за один рік , а за весь проміжок часу від олімпіади до олімпіади .","Вочевидь головне - планується провал , тим більше , що підготовка до олімпіади ведеться не за один рік , а за весь проміжок часу від олімпіади до олімпіади ."
NSDC_UA_28_Feb2014-470,"Хто "" ЗА "" ?","Хто "" ЗА "" ?"
ParlaMint-UA_2022-01-25-m0.u120.p8.lang1.s1,Йдемо далі .,Йдемо далі .
ParlaMint-UA_2004-11-27-m0.u23.p12.lang1.s1,Ліванізації чи африканізації України не буде !,Ліванізації чи африканізації України не буде !
ParlaMint-UA_2004-11-27-m0.u60.p9.lang1.s5,"Подивіться як знімають людей , які мали свою опозицію .","Подивіться як знімають людей , які мали свою опозицію ."
ParlaMint-UA_2022-01-25-m0.u202.p7.lang1.s3,"Ну , такого ж не буває .","Ну , такого ж не буває ."
ParlaMint-UA_2022-01-25-m0.u17.p12.lang1.s3,"Настав час об'єднувати сили українських патріотів , створювати спільні мережі дій , допомагати територіальній обороні і разом захищати державу .","Настав час об'єднувати сили українських патріотів , створювати спільні мережі дій , допомагати територіальній обороні і разом захищати державу ."
ParlaMint-UA_2022-01-25-m0.u264.p2.lang1.s3,"Ви знайдете сотні сайтів , які пропонують таку послугу .","Ви знайдете сотні сайтів , які пропонують таку послугу ."
ParlaMint-UA_2014-03-04-m0.u17.p2.lang1.s2,""" Економічний розвиток "" , я вибачаюся .",""" Економічний розвиток "" , я вибачаюся ."
ParlaMint-UA_2003-10-14-m0.u147.p8.lang1.s2,І я звертаюся з цієї трибуни до уряду : зобов'язати НКРЄ подібних рішень не приймати .,І я звертаюся з цієї трибуни до уряду : зобов'язати НКРЄ подібних рішень не приймати .
ParlaMint-UA_2003-10-14-m0.u121.p3.lang1.s2,І на сьогодні це врегульовано відповідними нормативними документами .,І на сьогодні це врегульовано відповідними нормативними документами .
ParlaMint-UA_2004-11-27-m0.u74.p14.lang1.s2,"І в наших спільних інтересах зробити все , щоб згуртувати український народ .","І в наших спільних інтересах зробити все , щоб згуртувати український народ ."
ParlaMint-UA_2003-10-14-m0.u14.p3.lang1.s2,"Ми це розцінюємо як прояв уваги до проблем спорту з боку Верховної Ради України , розуміємо міру відповідальності і сподіваємося на позитивні зрушення у вирішенні зазначених питань .","Ми це розцінюємо як прояв уваги до проблем спорту з боку Верховної Ради України , розуміємо міру відповідальності і сподіваємося на позитивні зрушення у вирішенні зазначених питань ."
ParlaMint-UA_2014-03-04-m0.u29.p17.lang1.s1,Саме тому під час Погоджувальної ради керівників депутатських фракцій і груп була внесена пропозиція створити Тимчасову спеціальну комісію Верховної Ради з питань підготовки законопроекту про внесення змін до Конституції України .,Саме тому під час Погоджувальної ради керівників депутатських фракцій і груп була внесена пропозиція створити Тимчасову спеціальну комісію Верховної Ради з питань підготовки законопроекту про внесення змін до Конституції України .
ParlaMint-UA_2022-01-25-m0.u49.p6.lang1.s1,Дякую .,Дякую .
ParlaMint-UA_2014-03-04-m0.u10.p13.lang1.s2,Ми маємо .,Ми маємо .
ParlaMint-UA_2003-10-14-m0.u13.p1.lang1.s2,Переходимо до Дня уряду .,Переходимо до Дня уряду .
ParlaMint-UA_2003-10-14-m0.u149.p6.lang1.s1,"Я хотів би привернути вашу увагу до такого реформування житлово-комунального господарства , яке відбулося в Одесі .","Я хотів би привернути вашу увагу до такого реформування житлово-комунального господарства , яке відбулося в Одесі ."
ParlaMint-UA_2004-11-27-m0.u14.p2.lang1.s2,Шановні громадяни України !,Шановні громадяни України !
