sent_id,clean_text,raw_text
NSDC_UA_28_Feb2014-110,"Плюс молодь , "" срочники "" , які вряд чи будуть воювати .","Плюс молодь , "" срочники "" , які вряд чи будуть воювати ."
NSDC_UA_28_Feb2014-111,"Готових виконати наказ щодо застосування зброї буде 1,5-2 тисячі максимум .","Готових виконати наказ щодо застосування зброї буде 1,5—2 тисячі максимум ."
NSDC_UA_28_Feb2014-112,"З російського боку в Криму , окрім сил Чорноморського флоту , йде постійне перекидання штурмових підрозділів збройних сил та спецназу ГРУ ГШ РФ .","З російського боку в Криму , окрім сил Чорноморського флоту , йде постійне перекидання штурмових підрозділів збройних сил та спецназу ГРУ ГШ РФ ."
NSDC_UA_28_Feb2014-113,Вже зараз бойова компонента перевищує 20 тисяч осіб .,Вже зараз бойова компонента перевищує 20 тисяч осіб .
NSDC_UA_28_Feb2014-114,"Але кількість російських військових , бойової техніки та зброї постійно зростає .","Але кількість російських військових , бойової техніки та зброї постійно зростає ."
NSDC_UA_28_Feb2014-115,Слово Міністру закордонних справ .,Слово Міністру закордонних справ .
NSDC_UA_28_Feb2014-116,"Міністерство закордонних справ розробило заяву , передало ноту , а потім внесло пропозиції провести двосторонні консультації з російською стороною .","Міністерство закордонних справ розробило заяву , передало ноту , а потім внесло пропозиції провести двосторонні консультації з російською стороною ."
NSDC_UA_28_Feb2014-117,"Ми маємо намір зробити заяву про проведення консультацій на рівні міністрів закордонних справ в рамках Будапештського меморандуму : - міністрів закордонних справ США , Великобританії і Росії .","Ми маємо намір зробити заяву про проведення консультацій на рівні міністрів закордонних справ в рамках Будапештського меморандуму : — міністрів закордонних справ США , Великобританії і Росії ."
NSDC_UA_28_Feb2014-118,"Я зустрівся сьогодні також з міністрами закордонних справ "" Вишеградської четвірки "" .","Я зустрівся сьогодні також з міністрами закордонних справ "" Вишеградської четвірки "" ."
NSDC_UA_28_Feb2014-119,"Всі вони на рівні своєму висловлюють занепокоєння , але своїх планів і дій вони не повідомляють .","Всі вони на рівні своєму висловлюють занепокоєння , але своїх планів і дій вони не повідомляють ."
NSDC_UA_28_Feb2014-12,"Я би просив зараз кожного керівника силових структур чітко проінформувати про ситуацію в АРК про план заходів , як вжитих , так і тих , що необхідно негайно запроваджувати .","Я би просив зараз кожного керівника силових структур чітко проінформувати про ситуацію в АРК про план заходів , як вжитих , так і тих , що необхідно негайно запроваджувати ."
NSDC_UA_28_Feb2014-120,Всі просять нас не робити поспішних кроків .,Всі просять нас не робити поспішних кроків .
NSDC_UA_28_Feb2014-121,"Можна , звичайно , підготувати заяву Міністерства закордонних справ про невиконання російською стороною Угоди про базування Чорноморського флоту Російської Федерації та військову агресію Росії , але я думаю , що це буде значно сильніший мати ефект , якщо це буде зроблено на рівні Уряду …","Можна , звичайно , підготувати заяву Міністерства закордонних справ про невиконання російською стороною Угоди про базування Чорноморського флоту Російської Федерації та військову агресію Росії , але я думаю , що це буде значно сильніший мати ефект , якщо це буде зроблено на рівні Уряду …"
NSDC_UA_28_Feb2014-122,"Прем'єр-міністр , будь ласка !","Прем'єр-міністр , будь ласка !"
NSDC_UA_28_Feb2014-123,"Я думаю , що у нас є два сценарії .","Я думаю , що у нас є два сценарії ."
NSDC_UA_28_Feb2014-124,"Зрозуміло , що Росія буде використовувати колишнього президента України в цьому сценарії .","Зрозуміло , що Росія буде використовувати колишнього президента України в цьому сценарії ."
NSDC_UA_28_Feb2014-125,"І в мене немає сумніву , що Росія буде іти до кінця в частині захоплення та оголошення незалежності Криму , або , як проміжний варіант , варіант федералізації .","І в мене немає сумніву , що Росія буде іти до кінця в частині захоплення та оголошення незалежності Криму , або , як проміжний варіант , варіант федералізації ."
NSDC_UA_28_Feb2014-126,"Те , що я почув зараз , а також сьогодні вранці , Олександр Валентинович , коли розмовляв з Міністром оборони , скажу свою думку : ми не готові до військової операції , на жаль , для нас .","Те , що я почув зараз , а також сьогодні вранці , Олександр Валентинович , коли розмовляв з Міністром оборони , скажу свою думку : ми не готові до військової операції , на жаль , для нас ."
NSDC_UA_28_Feb2014-127,І це знають росіяни .,І це знають росіяни .
NSDC_UA_28_Feb2014-128,"Тому , можливо , нам тут прийдеться робити декілька невідкладних речей .","Тому , можливо , нам тут прийдеться робити декілька невідкладних речей ."
NSDC_UA_28_Feb2014-129,"Перше : необхідно , щоб терміново агресія Росії проти України була розглянута в Раді Безпеки ООН .","Перше : необхідно , щоб терміново агресія Росії проти України була розглянута в Раді Безпеки ООН ."
NSDC_UA_28_Feb2014-13,"Будь ласка , Служба безпеки України .","Будь ласка , Служба безпеки України ."
NSDC_UA_28_Feb2014-130,Негайно !,Негайно !
NSDC_UA_28_Feb2014-131,Невідкладно завтра ми приймемо рішення Кабінету Міністрів з приводу звернення до Ради Безпеки ООН .,Невідкладно завтра ми приймемо рішення Кабінету Міністрів з приводу звернення до Ради Безпеки ООН .
NSDC_UA_28_Feb2014-132,Друге : ми відправили ноти та готуємо звернення Кабінету Міністрів про консультації в рамках Будапештського меморандуму .,Друге : ми відправили ноти та готуємо звернення Кабінету Міністрів про консультації в рамках Будапештського меморандуму .
NSDC_UA_28_Feb2014-133,"Третє : запропонувати формулу , як долучити ОБСЄ .","Третє : запропонувати формулу , як долучити ОБСЄ ."
NSDC_UA_28_Feb2014-134,"Четверте : я прошу Міністра оборони , Головне управління розвідки Міністерства оборони і Службу безпеки України на завтра на засідання Кабінету Міністрів , точніше сьогодні до ночі , і Державну прикордонну службу подати дані про те , які відбуваються порушення з боку Росії , з підтвердженими відео- та фотофактами .","Четверте : я прошу Міністра оборони , Головне управління розвідки Міністерства оборони і Службу безпеки України на завтра на засідання Кабінету Міністрів , точніше сьогодні до ночі , і Державну прикордонну службу подати дані про те , які відбуваються порушення з боку Росії , з підтвердженими відео- та фотофактами ."
NSDC_UA_28_Feb2014-135,"Це необхідно , щоб говорити з нашими партнерами .","Це необхідно , щоб говорити з нашими партнерами ."
NSDC_UA_28_Feb2014-136,"Також , шановний Олександре Валентиновичу , прохання , щоб Ви дали доручення , в першу чергу , Службі безпеки України , Службі розвідки , Головному управлінню розвідки провести ідентифікацію осіб , які без розпізнавальних ознак зі зброєю захоплюють об'єкти в Криму , щоб у нас були дані , фактаж про участь військових Російської Федерації .","Також , шановний Олександре Валентиновичу , прохання , щоб Ви дали доручення , в першу чергу , Службі безпеки України , Службі розвідки , Головному управлінню розвідки провести ідентифікацію осіб , які без розпізнавальних ознак зі зброєю захоплюють об'єкти в Криму , щоб у нас були дані , фактаж про участь військових Російської Федерації ."
NSDC_UA_28_Feb2014-137,"Якщо б у нас був варіант політичного рішення , Олександре Валентиновичу , то видається , що правильне політичне рішення було б : розпочати переговори з тими , хто представляє сьогодні незаконно обрану владу в Криму з метою політичної стабілізації через прийняття Верховною Радою України нового Закону України "" Про Конституцію Автономної Республіки Крим "" , який би передбачав формування самостійної системи фінансів , я її назвав би умовно самостійною , наприклад , залишення в розпорядженні бюджету Автономії податку на додану вартість , відрахування частини акцизного збору і вирішення так званих мовних національно-культурних і етнічних питань .","Якщо б у нас був варіант політичного рішення , Олександре Валентиновичу , то видається , що правильне політичне рішення було б : розпочати переговори з тими , хто представляє сьогодні незаконно обрану владу в Криму з метою політичної стабілізації через прийняття Верховною Радою України нового Закону України "" Про Конституцію Автономної Республіки Крим "" , який би передбачав формування самостійної системи фінансів , я її назвав би умовно самостійною , наприклад , залишення в розпорядженні бюджету Автономії податку на додану вартість , відрахування частини акцизного збору і вирішення так званих мовних національно-культурних і етнічних питань ."
NSDC_UA_28_Feb2014-138,"Такий варіант можливий , його треба розглядати як основний , але цей варіант буде зупинений Російською Федерацією , тому що вони не зацікавлені в мирному вирішенні конфлікту .","Такий варіант можливий , його треба розглядати як основний , але цей варіант буде зупинений Російською Федерацією , тому що вони не зацікавлені в мирному вирішенні конфлікту ."
NSDC_UA_28_Feb2014-139,"Ще раз хочу підкреслити , з тієї доповіді військових , яку я почув , ми не готові до військової операції , але вірогідність військової операції з боку Росії надвисока .","Ще раз хочу підкреслити , з тієї доповіді військових , яку я почув , ми не готові до військової операції , але вірогідність військової операції з боку Росії надвисока ."
NSDC_UA_28_Feb2014-14,Шановний Олександр Валентинович !,Шановний Олександр Валентинович !
NSDC_UA_28_Feb2014-140,"Вірогідність військової операції з боку Росії - це означає блокування військово-морських сил України , що є ніщо інше , як військовий конфлікт .","Вірогідність військової операції з боку Росії — це означає блокування військово-морських сил України , що є ніщо інше , як військовий конфлікт ."
NSDC_UA_28_Feb2014-141,І тому нам треба другим етапом думати що означає військовий конфлікт ?,І тому нам треба другим етапом думати що означає військовий конфлікт ?
NSDC_UA_28_Feb2014-142,"Він не перейде в категорію "" заморожених "" , я думаю , що він перейде в категорію "" гарячих "" .","Він не перейде в категорію "" заморожених "" , я думаю , що він перейде в категорію "" гарячих "" ."
NSDC_UA_28_Feb2014-143,"Також шкода , що два кораблі шостого флоту Сполучених Штатів покинули Чорне море .","Також шкода , що два кораблі шостого флоту Сполучених Штатів покинули Чорне море ."
NSDC_UA_28_Feb2014-144,"Один із них , здається , десь на мілині мав бути …","Один із них , здається , десь на мілині мав бути …"
NSDC_UA_28_Feb2014-145,Ми звернемось до наших партнерів з метою забезпечення миру і стабільності в Чорноморському регіоні .,Ми звернемось до наших партнерів з метою забезпечення миру і стабільності в Чорноморському регіоні .
NSDC_UA_28_Feb2014-146,"Просто вчора ми дізнались , наскільки загрозлива ситуація , але я сьогодні переговорив з віце-президентом Сполучених Штатів Америки з цього питання .","Просто вчора ми дізнались , наскільки загрозлива ситуація , але я сьогодні переговорив з віце-президентом Сполучених Штатів Америки з цього питання ."
NSDC_UA_28_Feb2014-147,У них поки що немає позиції .,У них поки що немає позиції .
NSDC_UA_28_Feb2014-148,"Пропозиції , я зрозумів , приблизно такі : вимагати від гарантів нашої недоторканності та цілісності за Будапештським меморандумом виконати свої обов'язки .","Пропозиції , я зрозумів , приблизно такі : вимагати від гарантів нашої недоторканності та цілісності за Будапештським меморандумом виконати свої обов'язки ."
NSDC_UA_28_Feb2014-149,Наші стратегічні партнери мають потужний військовий потенціал і їхня присутність в Чорному морі була би стабілізуючим фактором .,Наші стратегічні партнери мають потужний військовий потенціал і їхня присутність в Чорному морі була би стабілізуючим фактором .
NSDC_UA_28_Feb2014-15,Шановні члени Ради нацбезпеки України !,Шановні члени Ради нацбезпеки України !
NSDC_UA_28_Feb2014-150,"І , звичайно , найважливіше питання сьогодні - це відновлення потенціалу та посилення Збройних сил , підвищення рівня бойової готовності …","І , звичайно , найважливіше питання сьогодні — це відновлення потенціалу та посилення Збройних сил , підвищення рівня бойової готовності …"
NSDC_UA_28_Feb2014-151,"Шановні колеги , я пропоную запросити до Києва керівників прокуратури , СБУ та міліції з Криму , тому що там переважна більшість - зрадники .","Шановні колеги , я пропоную запросити до Києва керівників прокуратури , СБУ та міліції з Криму , тому що там переважна більшість — зрадники ."
NSDC_UA_28_Feb2014-152,"А ми повинні знати , хто на нашій стороні зараз , а хто ні !","А ми повинні знати , хто на нашій стороні зараз , а хто ні !"
NSDC_UA_28_Feb2014-153,З Криму .,З Криму .
NSDC_UA_28_Feb2014-154,Згоден !,Згоден !
NSDC_UA_28_Feb2014-155,Нам потрібен розклад сил в кожному районі Криму по всіх силових структурах .,Нам потрібен розклад сил в кожному районі Криму по всіх силових структурах .
NSDC_UA_28_Feb2014-156,"Робіть ротацію , кадрові призначення , але забезпечте роботу прокуратури , МВС , СБУ та функціонування військових частин на півострові !","Робіть ротацію , кадрові призначення , але забезпечте роботу прокуратури , МВС , СБУ та функціонування військових частин на півострові !"
NSDC_UA_28_Feb2014-157,"Ми повинні знати , хто готовий захищати Україну , а хто не готовий !","Ми повинні знати , хто готовий захищати Україну , а хто не готовий !"
NSDC_UA_28_Feb2014-158,Це реальні кроки .,Це реальні кроки .
NSDC_UA_28_Feb2014-159,Під час підготовки першочергових цих дій нами з'ясовано домінуючу позицію цивільного населення Криму .,Під час підготовки першочергових цих дій нами з'ясовано домінуючу позицію цивільного населення Криму .
NSDC_UA_28_Feb2014-16,Служба безпеки на додаток до попередніх нарад і доповідей доповідає про таке : спочатку політична ситуація і місцеві політики Криму .,Служба безпеки на додаток до попередніх нарад і доповідей доповідає про таке : спочатку політична ситуація і місцеві політики Криму .
NSDC_UA_28_Feb2014-160,"Коли відбувається ініціатива захоплення приміщень державних установ , вони говорять : "" Коли у вас у Києві можна , а чому у нас в Криму не можна захоплювати "" .","Коли відбувається ініціатива захоплення приміщень державних установ , вони говорять : "" Коли у вас у Києві можна , а чому у нас в Криму не можна захоплювати "" ."
NSDC_UA_28_Feb2014-161,"Тому сьогодні хотів би звернутися до Секретаря Ради національної безпеки і оборони Андрія Парубія максимально сьогодні звільнити приміщення , які захоплені Самообороною , для того щоб показати , що у нас діє закон і порядок …","Тому сьогодні хотів би звернутися до Секретаря Ради національної безпеки і оборони Андрія Парубія максимально сьогодні звільнити приміщення , які захоплені Самообороною , для того щоб показати , що у нас діє закон і порядок …"
NSDC_UA_28_Feb2014-162,"Й Арсен Борисович давав інформацію по цьому "" Беркуту "" , який сьогодні зайняв оборону "" Перешийку "" і перекрив Крим .","Й Арсен Борисович давав інформацію по цьому "" Беркуту "" , який сьогодні зайняв оборону "" Перешийку "" і перекрив Крим ."
NSDC_UA_28_Feb2014-163,"Основне – зверталися , чому вони зорганізували ці блокпости ?","Основне – зверталися , чому вони зорганізували ці блокпости ?"
NSDC_UA_28_Feb2014-164,"Це те , що вони побачили , як Сашко Білий у приміщенні обласної ради погрожував автоматом .","Це те , що вони побачили , як Сашко Білий у приміщенні обласної ради погрожував автоматом ."
NSDC_UA_28_Feb2014-165,"Поки в Україні не буде діяти закон , поки будуть продовжуватись захоплення приміщень та майна так званими "" патріотами "" , у ворогів України будуть сильні аргументи робити те ж саме .","Поки в Україні не буде діяти закон , поки будуть продовжуватись захоплення приміщень та майна так званими "" патріотами "" , у ворогів України будуть сильні аргументи робити те ж саме ."
NSDC_UA_28_Feb2014-166,А потім побив прокурора .,А потім побив прокурора .
NSDC_UA_28_Feb2014-167,"Так , а на наступний день побив прокурора .","Так , а на наступний день побив прокурора ."
NSDC_UA_28_Feb2014-168,"Я думаю , що на сьогодні нам потрібно вживати жорстких заходів , його затримати і відкрити справу , для того щоб показати людям , що у нас є влада .","Я думаю , що на сьогодні нам потрібно вживати жорстких заходів , його затримати і відкрити справу , для того щоб показати людям , що у нас є влада ."
NSDC_UA_28_Feb2014-169,Дякую !,Дякую !
NSDC_UA_28_Feb2014-17,"Константинов - Голова Верховної Ради Криму , а також новообраний прем'єр , в усякому разі оголошено , що він новообраний , Аксьонов - ключові фігури Криму , які знаходяться в повній співпраці , взаємодії і в плануванні з російськими військовими Чорноморського флоту Російської Федерації .","Константинов — Голова Верховної Ради Криму , а також новообраний прем'єр , в усякому разі оголошено , що він новообраний , Аксьонов — ключові фігури Криму , які знаходяться в повній співпраці , взаємодії і в плануванні з російськими військовими Чорноморського флоту Російської Федерації ."
NSDC_UA_28_Feb2014-170,Дякую !,Дякую !
NSDC_UA_28_Feb2014-171,"Шановні колеги , потрібно приймати рішення .","Шановні колеги , потрібно приймати рішення ."
NSDC_UA_28_Feb2014-172,Питання ?,Питання ?
NSDC_UA_28_Feb2014-173,- Будь ласка .,— Будь ласка .
NSDC_UA_28_Feb2014-174,Питання до військових .,Питання до військових .
NSDC_UA_28_Feb2014-175,"Якщо Росія почала активно перекидати своїх військових до Криму за допомогою військово-транспортних літаків , ми можемо це зупинити ?","Якщо Росія почала активно перекидати своїх військових до Криму за допомогою військово-транспортних літаків , ми можемо це зупинити ?"
NSDC_UA_28_Feb2014-176,"Літаки сідають на підконтрольний їм аеродром , відповідно до Угоди про базування Чорноморського Флоту Російської Федерації .","Літаки сідають на підконтрольний їм аеродром , відповідно до Угоди про базування Чорноморського Флоту Російської Федерації ."
NSDC_UA_28_Feb2014-177,Запишіть до рішення : Негайно закрити авіапростір над Кримом .,Запишіть до рішення : Негайно закрити авіапростір над Кримом .
NSDC_UA_28_Feb2014-178,Негайно зробити … і повністю вивести диспетчерську службу з контактів з Російською Федерацією .,Негайно зробити … і повністю вивести диспетчерську службу з контактів з Російською Федерацією .
NSDC_UA_28_Feb2014-179,Це не допоможе .,Це не допоможе .
NSDC_UA_28_Feb2014-18,"Вони беруть участь у плануванні та здійсненні всіх провокацій переодягнених і не переодягнених військовослужбовців Збройних Сил та Чорноморського флоту Російської Федерації на всіх об'єктах , про що Міністр оборони буде доповідати окремо , і на об'єктах і пунктах контролю Державної прикордонної служби України .","Вони беруть участь у плануванні та здійсненні всіх провокацій переодягнених і не переодягнених військовослужбовців Збройних Сил та Чорноморського флоту Російської Федерації на всіх об'єктах , про що Міністр оборони буде доповідати окремо , і на об'єктах і пунктах контролю Державної прикордонної служби України ."
NSDC_UA_28_Feb2014-180,Вони посадять літаки за допомогою військових диспетчерів .,Вони посадять літаки за допомогою військових диспетчерів .
NSDC_UA_28_Feb2014-181,Але робити це треба .,Але робити це треба .
NSDC_UA_28_Feb2014-182,У мене запитання .,У мене запитання .
NSDC_UA_28_Feb2014-183,Відповідно до Угоди чи має право Російська Федерація без повідомлення збільшити чисельність свого військового контингенту ?,Відповідно до Угоди чи має право Російська Федерація без повідомлення збільшити чисельність свого військового контингенту ?
NSDC_UA_28_Feb2014-184,Не має .,Не має .
NSDC_UA_28_Feb2014-185,"Але ми не контролюємо збільшення їх військ як повітряними коридорами , так морським шляхом .","Але ми не контролюємо збільшення їх військ як повітряними коридорами , так морським шляхом ."
NSDC_UA_28_Feb2014-186,Їх десантні кораблі виходять на будь-яку точку узбережжя .,Їх десантні кораблі виходять на будь-яку точку узбережжя .
NSDC_UA_28_Feb2014-187,"Шановні колеги , я хотів би задати питання для того , щоб можна було приймати рішення .","Шановні колеги , я хотів би задати питання для того , щоб можна було приймати рішення ."
NSDC_UA_28_Feb2014-188,"Питання перше , що стосується Угоди про перебування в Криму Чорноморського флоту : у зв'язку з грубим порушенням російською стороною вимог Угоди , є механізм розторгнення цієї Угоди зі сторони України ?","Питання перше , що стосується Угоди про перебування в Криму Чорноморського флоту : у зв'язку з грубим порушенням російською стороною вимог Угоди , є механізм розторгнення цієї Угоди зі сторони України ?"
NSDC_UA_28_Feb2014-189,"Я не можу зараз сказати , які там вимоги для розірвання цієї Угоди , але розірвання цієї Угоди - складний процес , який поставить …","Я не можу зараз сказати , які там вимоги для розірвання цієї Угоди , але розірвання цієї Угоди — складний процес , який поставить …"
NSDC_UA_28_Feb2014-19,"Перший аспект , який є дуже загрозливим , на наш погляд , це повномасштабне використання військовослужбовців Російської Федерації .","Перший аспект , який є дуже загрозливим , на наш погляд , це повномасштабне використання військовослужбовців Російської Федерації ."
NSDC_UA_28_Feb2014-190,Я ще раз хочу сказати : ми повинні бути готові до будь-яких варіантів розвитку подій .,Я ще раз хочу сказати : ми повинні бути готові до будь-яких варіантів розвитку подій .
NSDC_UA_28_Feb2014-191,І тому я прошу опрацювати це питання у зв'язку з грубим порушенням Росією цієї Угоди .,І тому я прошу опрацювати це питання у зв'язку з грубим порушенням Росією цієї Угоди .
NSDC_UA_28_Feb2014-192,І одне із попереджень повинно бути саме в цьому напрямку .,І одне із попереджень повинно бути саме в цьому напрямку .
NSDC_UA_28_Feb2014-193,"Там є застереження , чи можна буде її денонсувати ?","Там є застереження , чи можна буде її денонсувати ?"
NSDC_UA_28_Feb2014-194,Шановні колеги !,Шановні колеги !
NSDC_UA_28_Feb2014-195,"Я думаю , що агресія Росії в Криму може перерости повномасштабну війну .","Я думаю , що агресія Росії в Криму може перерости повномасштабну війну ."
NSDC_UA_28_Feb2014-196,"Незважаючи на всі проблеми , до цього треба готуватись .","Незважаючи на всі проблеми , до цього треба готуватись ."
NSDC_UA_28_Feb2014-197,Це перше .,Це перше .
NSDC_UA_28_Feb2014-198,Друге питання .,Друге питання .
NSDC_UA_28_Feb2014-199,"До МЗС і відповідних підрозділів , у першу чергу до керівництва Уряду .","До МЗС і відповідних підрозділів , у першу чергу до керівництва Уряду ."
NSDC_UA_28_Feb2014-2,"Питання , яке сьогодні ми повинні обговорити , - це питання загрози нашій територіальній цілісності .","Питання , яке сьогодні ми повинні обговорити , — це питання загрози нашій територіальній цілісності ."
NSDC_UA_28_Feb2014-20,Друге .,Друге .
NSDC_UA_28_Feb2014-200,"Яка теоретична можливість , враховуючи небезпеку для України , активних консультацій з НАТО щодо вступу хоча б асоційованим членом ?","Яка теоретична можливість , враховуючи небезпеку для України , активних консультацій з НАТО щодо вступу хоча б асоційованим членом ?"
NSDC_UA_28_Feb2014-201,"У них немає такого поняття , як "" асоційований член "" .","У них немає такого поняття , як "" асоційований член "" ."
NSDC_UA_28_Feb2014-202,Приєднання – це рівне нулю .,Приєднання – це рівне нулю .
NSDC_UA_28_Feb2014-203,Вони побояться ?,Вони побояться ?
NSDC_UA_28_Feb2014-204,В сьогоднішніх умовах однозначно .,В сьогоднішніх умовах однозначно .
NSDC_UA_28_Feb2014-205,"Не можна говорити про термінове членство в НАТО , це викличе ще більшу агресію Росії .","Не можна говорити про термінове членство в НАТО , це викличе ще більшу агресію Росії ."
NSDC_UA_28_Feb2014-206,"Ми не говоримо , ми радимось з вами , між собою .","Ми не говоримо , ми радимось з вами , між собою ."
NSDC_UA_28_Feb2014-207,"Ми про публічні заяви не говоримо , ми говоримо про консультації з нашими північноатлантичними партнерами для того , щоб вони могли також не спостерігати байдуже , як розгортаються події щодо анексії території України .","Ми про публічні заяви не говоримо , ми говоримо про консультації з нашими північноатлантичними партнерами для того , щоб вони могли також не спостерігати байдуже , як розгортаються події щодо анексії території України ."
